item_id,annotator,valid,confidence_scale,reason,notes,type
15898994::SYN::1,takuya,1,5,,"Btw, the objective is to make the system generate a question so it is useless to ask it to generate an ""interrogative"" variant; it must do that without asking",SYNTACTIC
15898994::LEX::0,takuya,1,5,,,LEXICAL
15898994::LEX::1,takuya,1,5,,,LEXICAL
7486157::SEM::0,takuya,1,5,,,SEMANTIC
7486157::SEM::1,takuya,1,5,,,SEMANTIC
7486157::SYN::0,takuya,-1,5,OTHER,"Btw, the objective is to make the system generate a question so it is useless to ask it to generate an ""interrogative"" variant; it must do that without asking",SYNTACTIC
7486157::SYN::1,takuya,0,5,,"""Rewordinig"" wrt the original Q? If so, it's respected but the Q generated is the same as the previous one",SYNTACTIC
7486157::LEX::0,takuya,0,5,,The changes observed concern the constituent order with respect to the two previous Qs,LEXICAL
7486157::LEX::1,takuya,0,5,,A minimal change of the constituent order and of a preposition wrt the previous Q ,LEXICAL
22580862::SEM::0,takuya,1,5,,,SEMANTIC
22580862::SEM::1,takuya,1,5,,Rewording of the precedent one but correct Q-A pair,SEMANTIC
22580862::SYN::0,takuya,-1,5,OUT_OF_SCOPE,The Q is ok (even if it's difficult to assess the degree of complexitiy required). The original A is out of scope.,SYNTACTIC
22580862::SYN::1,takuya,-1,5,OUT_OF_SCOPE,The Q is ok (it's a passive sentence). The original A is out of scope.,SYNTACTIC
22580862::LEX::0,takuya,-1,5,OUT_OF_SCOPE,The Q is ok. The original A out of scope (as for the HPV 18; the A confirms one of the research Q abusively).,LEXICAL
22580862::LEX::1,takuya,-1,5,DUPLICATE,The same as the previous one.,LEXICAL
16871451::SEM::0,takuya,-1,5,OUT_OF_SCOPE,"The Q asks about HPV 18 but nothing is said about that in the A, which is factually correct but seems partial from a pragmatic pov.",SEMANTIC
16871451::SEM::1,takuya,-1,5,OUT_OF_SCOPE,Nothing is said about the effect of HPV 18 exposure.,SEMANTIC
16871451::SYN::0,takuya,-1,5,OUT_OF_SCOPE,The A contains the information on HPV18 which is not described explicitely.,SYNTACTIC
16871451::SYN::1,takuya,-1,5,OUT_OF_SCOPE,"The Q is not passive, which is not pertinent any more but the problem of the orginal A remains.",SYNTACTIC
16871451::LEX::0,takuya,-1,5,OUT_OF_SCOPE,The Q OK,LEXICAL
16871451::LEX::1,takuya,-1,5,OUT_OF_SCOPE,The Q OK,LEXICAL
26990556::SEM::0,takuya,1,5,,,SEMANTIC
26990556::SEM::1,takuya,1,5,,,SEMANTIC
26990556::SYN::0,takuya,-1,5,OUT_OF_SCOPE,"The Q is ok (even if it's not a passive sent.) but the last part of the original A ""the cellular response to exogenous AJL1 may suggest a novel agent for cancer gene therapy"" is an inference needing the extra-textual knowledge;",SYNTACTIC
26990556::SYN::1,takuya,-1,5,OUT_OF_SCOPE,"The Q is ok (even if it's not a passive sent.) but the last part of the original A ""the cellular response to exogenous AJL1 may suggest a novel agent for cancer gene therapy"" is an inference needing the extra-textual knowledge;",SYNTACTIC
26990556::LEX::0,takuya,-1,5,OUT_OF_SCOPE,"The Q is ok but the last part of the original A ""the cellular response to exogenous AJL1 may suggest a novel agent for cancer gene therapy"" is an inference needing the extra-textual knowledge;",LEXICAL
26990556::LEX::1,takuya,-1,5,OUT_OF_SCOPE,"The Q is ok but the last part of the original A ""the cellular response to exogenous AJL1 may suggest a novel agent for cancer gene therapy"" is an inference needing the extra-textual knowledge;",LEXICAL
17802829::SEM::0,takuya,-1,5,OTHER,The generated Q&A pair is ok but the original Q is not a good sentence.,SEMANTIC
17802829::SEM::1,takuya,-1,5,OTHER,The generated Q&A pair is ok but the original Q is not a good sentence.,SEMANTIC
17802829::SYN::0,takuya,-1,5,OTHER,"The Q is ill-formed: the use of the term ""research"" is strange, as it is the case of the original Q, not to mention the fact that there's no passive.",SYNTACTIC
17802829::SYN::1,takuya,1,5,,,SYNTACTIC
17802829::LEX::0,takuya,-1,5,OTHER,"The Q is ill-formed: the use of the term ""research"" is strange, as it is the case of the original Q.",LEXICAL
17802829::LEX::1,takuya,-1,5,DUPLICATE,"The same Q as the precedent one, the difference is the presence or absence of a space.",LEXICAL
