item_id,annotator,valid,confidence_scale,reason,notes,type
57268141f1498d1400e8e20c::SEM::1,takuya,1,5,,,SEMANTIC
57268141f1498d1400e8e20c::SYN::0,takuya,1,5,,,SYNTACTIC
57268141f1498d1400e8e20c::SYN::1,takuya,1,5,,,SYNTACTIC
57268141f1498d1400e8e20c::LEX::0,takuya,1,5,,,LEXICAL
57268141f1498d1400e8e20c::LEX::1,takuya,-1,5,DUPLICATE,,LEXICAL
5ace3dc232bba1001ae4a003::SEM::0,takuya,1,5,,,SEMANTIC
5ace3dc232bba1001ae4a003::SEM::1,takuya,1,5,,,SEMANTIC
5ace3dc232bba1001ae4a003::SYN::0,takuya,-1,5,OTHER,The Q is answerable,SYNTACTIC
5ace3dc232bba1001ae4a003::SYN::1,takuya,-1,5,OTHER,The Q is answerable,SYNTACTIC
5ace3dc232bba1001ae4a003::LEX::0,takuya,-1,5,OTHER,The Q is answerable,LEXICAL
5ace3dc232bba1001ae4a003::LEX::1,takuya,-1,5,OTHER,The Q is answerable,LEXICAL
573050f28ab72b1400f9c448::SEM::0,takuya,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SEM::1,takuya,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SYN::0,takuya,1,5,,,SYNTACTIC
573050f28ab72b1400f9c448::SYN::1,takuya,-1,5,DUPLICATE,,SYNTACTIC
573050f28ab72b1400f9c448::LEX::0,takuya,1,5,,,LEXICAL
573050f28ab72b1400f9c448::LEX::1,takuya,1,5,,Quasi duplicate,LEXICAL
5a8cae39fd22b3001a8d8d23::SEM::0,takuya,-1,5,SPAN_MISSING,,SEMANTIC
5a8cae39fd22b3001a8d8d23::SEM::1,takuya,-1,5,SPAN_MISSING,,SEMANTIC
5a8cae39fd22b3001a8d8d23::SYN::0,takuya,1,5,,,SYNTACTIC
5a8cae39fd22b3001a8d8d23::SYN::1,takuya,1,5,,,SYNTACTIC
5a8cae39fd22b3001a8d8d23::LEX::0,takuya,1,5,,,LEXICAL
5a8cae39fd22b3001a8d8d23::LEX::1,takuya,-1,5,DUPLICATE,,LEXICAL
5728037eff5b5019007d9af0::SEM::0,takuya,0,5,,The original Q bad (wh in situ),SEMANTIC
5728037eff5b5019007d9af0::SEM::1,takuya,0,5,,The original Q bad (wh in situ),SEMANTIC
5728037eff5b5019007d9af0::SYN::0,takuya,0,5,,The original Q bad (wh in situ),SYNTACTIC
5728037eff5b5019007d9af0::SYN::1,takuya,0,5,,The original Q bad (wh in situ),SYNTACTIC
5728037eff5b5019007d9af0::LEX::0,takuya,0,5,,The original Q bad (wh in situ),LEXICAL
5728037eff5b5019007d9af0::LEX::1,takuya,0,5,,The original Q bad (wh in situ),LEXICAL
57273da05951b619008f8733::SEM::0,takuya,1,5,,,SEMANTIC
57273da05951b619008f8733::SEM::1,takuya,1,5,,,SEMANTIC
57273da05951b619008f8733::SYN::0,takuya,1,5,,,SYNTACTIC
57273da05951b619008f8733::SYN::1,takuya,-1,5,DUPLICATE,,SYNTACTIC
57273da05951b619008f8733::LEX::0,takuya,0,5,,Introduction of GI Bill is more important for the enlargement of gap,LEXICAL
57273da05951b619008f8733::LEX::1,takuya,0,5,,Introduction of GI Bill is more important for the enlargement of gap,LEXICAL
5ad3918c604f3c001a3fe67d::SEM::0,takuya,1,5,,,SEMANTIC
5ad3918c604f3c001a3fe67d::SEM::1,takuya,1,5,,,SEMANTIC
5ad3918c604f3c001a3fe67d::SYN::0,takuya,1,5,,,SYNTACTIC
5ad3918c604f3c001a3fe67d::SYN::1,takuya,-1,5,DUPLICATE,"does not & doesn't, aren't they duplicates of each other?",SYNTACTIC
5ad3918c604f3c001a3fe67d::LEX::0,takuya,1,5,,,LEXICAL
5ad3918c604f3c001a3fe67d::LEX::1,takuya,1,5,,,LEXICAL
570e28710dc6ce1900204e09::SEM::0,takuya,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SEM::1,takuya,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SYN::0,takuya,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::SYN::1,takuya,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::LEX::0,takuya,1,5,,,LEXICAL
570e28710dc6ce1900204e09::LEX::1,takuya,1,5,,,LEXICAL
5a75142d97ca42001a521e7f::SEM::0,takuya,0,5,,The original Q is answerable.,SEMANTIC
5a75142d97ca42001a521e7f::SEM::1,takuya,0,5,,,SEMANTIC
5a75142d97ca42001a521e7f::SYN::0,takuya,0,5,,15:27,SYNTACTIC
