item_id,annotator,valid,confidence_scale,reason,notes,type
5727bb46ff5b5019007d93a0::SYN::1,cyril,0,5,,"L'acronyme UCC est mentionné dans le nom d'un journal, pas celui de l'éditeur (University of Corck Cxxx ?)",SYNTACTIC
5727bb46ff5b5019007d93a0::LEX::0,cyril,0,5,,"L'acronyme UCC est mentionné dans le nom d'un journal, pas celui de l'éditeur (University of Corck Cxxx ?)",LEXICAL
5727bb46ff5b5019007d93a0::LEX::1,cyril,0,5,,"L'acronyme UCC est mentionné dans le nom d'un journal, pas celui de l'éditeur (University of Corck Cxxx ?)",LEXICAL
57268141f1498d1400e8e20c::SEM::0,cyril,1,5,,,SEMANTIC
57268141f1498d1400e8e20c::SEM::1,cyril,1,5,,,SEMANTIC
57268141f1498d1400e8e20c::SYN::0,cyril,1,5,,,SYNTACTIC
57268141f1498d1400e8e20c::SYN::1,cyril,-1,5,OTHER,"Formulation étrange de la question générée : c'est la paix en Europe, pas la paix européenne",SYNTACTIC
57268141f1498d1400e8e20c::LEX::0,cyril,1,5,,,LEXICAL
57268141f1498d1400e8e20c::LEX::1,cyril,-1,5,DUPLICATE,Doublon,LEXICAL
5ace3dc232bba1001ae4a003::SEM::0,cyril,0,5,,Question d'origine sans réponse,SEMANTIC
5ace3dc232bba1001ae4a003::SEM::1,cyril,1,5,,"Les QR générées sont valides, contrairement aux QR d'origine",SEMANTIC
5ace3dc232bba1001ae4a003::SYN::0,cyril,0,5,,Question d'origine sans réponse,SYNTACTIC
5ace3dc232bba1001ae4a003::SYN::1,cyril,0,5,,Question d'origine sans réponse,SYNTACTIC
5ace3dc232bba1001ae4a003::LEX::0,cyril,0,5,,Question d'origine sans réponse,LEXICAL
5ace3dc232bba1001ae4a003::LEX::1,cyril,0,5,,Question d'origine sans réponse,LEXICAL
573050f28ab72b1400f9c448::SEM::0,cyril,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SEM::1,cyril,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SYN::0,cyril,1,5,,,SYNTACTIC
573050f28ab72b1400f9c448::SYN::1,cyril,-1,5,DUPLICATE,Doublon,SYNTACTIC
573050f28ab72b1400f9c448::LEX::0,cyril,1,5,,,LEXICAL
573050f28ab72b1400f9c448::LEX::1,cyril,-1,5,AMBIGUOUS,Beaufighter sous-spécifié dans la question générée,LEXICAL
5a8cae39fd22b3001a8d8d23::SEM::0,cyril,1,5,,,SEMANTIC
5a8cae39fd22b3001a8d8d23::SEM::1,cyril,-1,5,OUT_OF_SCOPE,D'où vient la mort de substitution ?,SEMANTIC
5a8cae39fd22b3001a8d8d23::SYN::0,cyril,0,5,,Question sans réponse,SYNTACTIC
5a8cae39fd22b3001a8d8d23::SYN::1,cyril,0,5,,Question sans réponse,SYNTACTIC
5a8cae39fd22b3001a8d8d23::LEX::0,cyril,0,5,,Question sans réponse,LEXICAL
5a8cae39fd22b3001a8d8d23::LEX::1,cyril,0,5,,Question sans réponse,LEXICAL
5728037eff5b5019007d9af0::SEM::0,cyril,1,4,,,SEMANTIC
5728037eff5b5019007d9af0::SEM::1,cyril,1,4,,,SEMANTIC
5728037eff5b5019007d9af0::SYN::0,cyril,1,5,,,SYNTACTIC
5728037eff5b5019007d9af0::SYN::1,cyril,1,5,,,SYNTACTIC
5728037eff5b5019007d9af0::LEX::0,cyril,1,5,,,LEXICAL
5728037eff5b5019007d9af0::LEX::1,cyril,1,5,,,LEXICAL
57273da05951b619008f8733::SEM::0,cyril,1,5,,,SEMANTIC
57273da05951b619008f8733::SEM::1,cyril,1,3,,,SEMANTIC
57273da05951b619008f8733::SYN::0,cyril,1,5,,,SYNTACTIC
57273da05951b619008f8733::SYN::1,cyril,-1,5,DUPLICATE,Doublon,SYNTACTIC
57273da05951b619008f8733::LEX::0,cyril,-1,3,OTHER,"Pas sûr de la bonne utilisation du mot ""occurrence"" dans la question générée",LEXICAL
57273da05951b619008f8733::LEX::1,cyril,1,5,,,LEXICAL
5ad3918c604f3c001a3fe67d::SEM::0,cyril,1,4,,La réponse correspond moyennement à la question,SEMANTIC
5ad3918c604f3c001a3fe67d::SEM::1,cyril,1,3,,La réponse correspond moyennement à la question,SEMANTIC
5ad3918c604f3c001a3fe67d::SYN::0,cyril,0,5,,Question sans réponse,SYNTACTIC
5ad3918c604f3c001a3fe67d::SYN::1,cyril,0,5,,Question sans réponse,SYNTACTIC
5ad3918c604f3c001a3fe67d::LEX::0,cyril,0,5,,Question sans réponse,LEXICAL
5ad3918c604f3c001a3fe67d::LEX::1,cyril,0,5,,Question sans réponse,LEXICAL
570e28710dc6ce1900204e09::SEM::0,cyril,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SEM::1,cyril,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SYN::0,cyril,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::SYN::1,cyril,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::LEX::0,cyril,1,5,,,LEXICAL
570e28710dc6ce1900204e09::LEX::1,cyril,1,5,,,LEXICAL
5a75142d97ca42001a521e7f::SEM::0,cyril,1,5,,Question sans réponse,SEMANTIC
5a75142d97ca42001a521e7f::SEM::1,cyril,1,5,,Question sans réponse,SEMANTIC
5a75142d97ca42001a521e7f::SYN::0,cyril,0,5,,Question sans réponse,SYNTACTIC
